GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:03.351,13.92417156,42.04336222,4.61,28.823,430.0,19.9,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:03.472,13.92417156,42.04336222,4.61,28.823,430.0,19.9,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:03.592,13.92417156,42.04336222,4.61,28.823,430.0,19.9,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:03.862,13.92417156,42.04336222,4.61,28.823,430.0,19.9,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:02 GMT+02:00 2019,15-ott-2019 19:05:04.134,13.92417156,42.04336222,4.61,28.823,430.0,19.9,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:04.408,13.92414077,42.04339452,4.5,21.237999,434.0,21.3,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:04.685,13.92414077,42.04339452,4.5,21.237999,434.0,21.3,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:04.957,13.92414077,42.04339452,4.5,21.237999,434.0,21.3,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:05.084,13.92414077,42.04339452,4.5,21.237999,434.0,21.3,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:03 GMT+02:00 2019,15-ott-2019 19:05:05.208,13.92414077,42.04339452,4.5,21.237999,434.0,21.3,9.70133972,-0.31126404,-0.04159546,0.01087941,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.342,13.92415673,42.04344498,4.36,15.17,437.0,25.0,8.65568542,-1.22892761,-1.22843933,-0.0096426,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.465,13.92415673,42.04344498,4.36,15.17,437.0,25.0,9.29217529,-0.91546631,-1.97859192,-0.0265013,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.598,13.92415673,42.04344498,4.36,15.17,437.0,25.0,9.34121704,-0.59483337,-2.42843628,-0.02822892,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.726,13.92415673,42.04344498,4.36,15.17,437.0,25.0,9.39506531,0.65901184,-2.14608765,0.0616334,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.856,13.92415673,42.04344498,4.36,15.17,437.0,25.0,10.84033203,-0.34356689,-0.97958374,0.06794981,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:05.977,13.92415673,42.04344498,4.36,15.17,437.0,25.0,10.09855652,-0.95135498,-1.09443665,0.03067955,
Tue Oct 15 19:05:04 GMT+02:00 2019,15-ott-2019 19:05:06.104,13.92415673,42.04344498,4.36,15.17,437.0,25.0,8.65927124,-0.98605347,-2.15924072,-0.03263934,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.220,13.92418751,42.04349974,4.77,10.6189995,440.0,30.5,10.08538818,1.71903992,-1.98457336,0.06145552,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.340,13.92418751,42.04349974,4.77,10.6189995,440.0,30.5,10.19186401,-0.34356689,-0.91975403,0.04079427,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.461,13.92418751,42.04349974,4.77,10.6189995,440.0,30.5,9.64031982,-1.27798462,-0.48905945,-0.14000805,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.580,13.92418751,42.04349974,4.77,10.6189995,440.0,30.5,8.69755554,-0.58047485,0.01702881,-0.08612443,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.701,13.92418751,42.04349974,4.77,10.6189995,440.0,30.5,11.05926514,1.43788147,-0.68885803,-0.01745902,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:06.820,13.92418751,42.04349974,4.77,10.6189995,440.0,30.5,10.00761414,0.67218018,-0.30001831,0.06932016,
Tue Oct 15 19:05:05 GMT+02:00 2019,15-ott-2019 19:05:07.090,13.92418751,42.04349974,4.77,10.6189995,440.0,30.5,9.55418396,0.74157715,-0.212677,-0.00748755,
Tue Oct 15 19:05:06 GMT+02:00 2019,15-ott-2019 19:05:07.361,13.92423802,42.04353869,5.03,9.101999,439.0,33.4,9.96813965,0.56809998,-0.24020386,-0.00213003,
Tue Oct 15 19:05:06 GMT+02:00 2019,15-ott-2019 19:05:07.630,13.92423802,42.04353869,5.03,9.101999,439.0,33.4,9.16654968,0.80378723,-0.8467865,0.00484194,
Tue Oct 15 19:05:06 GMT+02:00 2019,15-ott-2019 19:05:07.900,13.92423802,42.04353869,5.03,9.101999,439.0,33.4,9.69296265,0.43768311,0.09480286,0.01561861,
Tue Oct 15 19:05:06 GMT+02:00 2019,15-ott-2019 19:05:08.170,13.92423802,42.04353869,5.03,9.101999,439.0,33.4,9.67860413,-0.14616394,0.36997986,-0.01506535,
Tue Oct 15 19:05:07 GMT+02:00 2019,15-ott-2019 19:05:08.446,13.92424595,42.04361609,5.04,7.585,441.0,18.5,9.48120117,-0.01216125,-0.67329407,0.02272509,
Tue Oct 15 19:05:07 GMT+02:00 2019,15-ott-2019 19:05:08.726,13.92424595,42.04361609,5.04,7.585,441.0,18.5,9.68099976,-0.26580811,0.83418274,-0.01400618,
Tue Oct 15 19:05:07 GMT+02:00 2019,15-ott-2019 19:05:09.005,13.92424595,42.04361609,5.04,7.585,441.0,18.5,10.33065796,0.05123901,0.42501831,0.041124,
Tue Oct 15 19:05:07 GMT+02:00 2019,15-ott-2019 19:05:09.127,13.92424595,42.04361609,5.04,7.585,441.0,18.5,9.16415405,0.04167175,-0.10501099,0.02032658,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:09.255,13.92424572,42.04365131,4.74,6.068,440.0,5.8,8.8399353,-0.27537537,-0.10501099,0.01391065,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:09.377,13.92424572,42.04365131,4.74,6.068,440.0,5.8,9.98727417,-0.57926941,0.5302887,-0.00178801,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:09.506,13.92424572,42.04365131,4.74,6.068,440.0,5.8,9.10194397,-0.16410828,0.00506592,-0.00459846,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:09.636,13.92424572,42.04365131,4.74,6.068,440.0,5.8,10.68717957,-0.00857544,0.86170959,0.00877208,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:09.757,13.92424572,42.04365131,4.74,6.068,440.0,5.8,8.97392273,-0.20957947,0.24195862,0.0083111,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:09.888,13.92424572,42.04365131,4.74,6.068,440.0,5.8,9.91549683,-0.15931702,0.84016418,0.00494805,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:10.016,13.92424572,42.04365131,4.74,6.068,440.0,5.8,10.59745789,-0.27656555,0.42022705,0.00416801,
Tue Oct 15 19:05:08 GMT+02:00 2019,15-ott-2019 19:05:10.148,13.92424572,42.04365131,4.74,6.068,440.0,5.8,10.26844788,-0.15931702,0.06248474,0.00871295,
Tue Oct 15 19:05:09 GMT+02:00 2019,15-ott-2019 19:05:10.273,13.92425339,42.04368236,4.56,4.5509996,439.0,2.2,9.25028992,-0.4596405,0.39749146,0.00744602,
Tue Oct 15 19:05:09 GMT+02:00 2019,15-ott-2019 19:05:10.396,13.92425339,42.04368236,4.56,4.5509996,439.0,2.2,9.55657959,-0.71566772,0.71453857,-0.00139344,
Tue Oct 15 19:05:09 GMT+02:00 2019,15-ott-2019 19:05:10.515,13.92425339,42.04368236,4.56,4.5509996,439.0,2.2,9.65109253,-0.89273071,-0.07748413,-0.00083075,
Tue Oct 15 19:05:09 GMT+02:00 2019,15-ott-2019 19:05:10.638,13.92425339,42.04368236,4.56,4.5509996,439.0,2.2,8.97869873,-0.78863525,0.18333435,0.00031174,
Tue Oct 15 19:05:09 GMT+02:00 2019,15-ott-2019 19:05:10.765,13.92425339,42.04368236,4.56,4.5509996,439.0,2.2,8.92845154,-0.48594666,-0.02723694,-0.069511,
Tue Oct 15 19:05:09 GMT+02:00 2019,15-ott-2019 19:05:11.053,13.92425339,42.04368236,4.56,4.5509996,439.0,2.2,10.09136963,-0.28852844,1.02082825,0.00724014,
Tue Oct 15 19:05:10 GMT+02:00 2019,15-ott-2019 19:05:11.325,13.92425372,42.04371941,4.23,4.5509996,439.0,1.7,9.29815674,-0.45724487,0.61763,0.00431977,
Tue Oct 15 19:05:10 GMT+02:00 2019,15-ott-2019 19:05:11.607,13.92425372,42.04371941,4.23,4.5509996,439.0,1.7,9.54699707,-0.70010376,0.2096405,-0.00591358,
Tue Oct 15 19:05:10 GMT+02:00 2019,15-ott-2019 19:05:11.886,13.92425372,42.04371941,4.23,4.5509996,439.0,1.7,9.42616272,-0.64028931,0.19529724,-0.01770723,
Tue Oct 15 19:05:10 GMT+02:00 2019,15-ott-2019 19:05:12.165,13.92425372,42.04371941,4.23,4.5509996,439.0,1.7,9.17372131,0.11465454,0.69540405,0.00825549,
Tue Oct 15 19:05:11 GMT+02:00 2019,15-ott-2019 19:05:12.433,13.92424882,42.04374833,3.85,4.5509996,440.0,359.5,9.30532837,0.06559753,0.1007843,0.00796199,
Tue Oct 15 19:05:11 GMT+02:00 2019,15-ott-2019 19:05:12.702,13.92424882,42.04374833,3.85,4.5509996,440.0,359.5,8.91888428,0.05004883,-0.88865662,-0.00893049,
Tue Oct 15 19:05:11 GMT+02:00 2019,15-ott-2019 19:05:12.973,13.92424882,42.04374833,3.85,4.5509996,440.0,359.5,9.36993408,-0.23469543,-0.98077393,-0.02034283,
Tue Oct 15 19:05:11 GMT+02:00 2019,15-ott-2019 19:05:13.096,13.92424882,42.04374833,3.85,4.5509996,440.0,359.5,10.03753662,-0.51226807,-0.74029541,-0.00007436,
Tue Oct 15 19:05:12 GMT+02:00 2019,15-ott-2019 19:05:13.214,13.92424418,42.04378378,3.78,4.5509996,440.0,357.7,9.9083252,-0.36390686,0.27545166,0.00652469,
Tue Oct 15 19:05:12 GMT+02:00 2019,15-ott-2019 19:05:13.336,13.92424418,42.04378378,3.78,4.5509996,440.0,357.7,9.06484985,0.10508728,-0.61108398,-0.05479908,
Tue Oct 15 19:05:12 GMT+02:00 2019,15-ott-2019 19:05:13.454,13.92424418,42.04378378,3.78,4.5509996,440.0,357.7,10.17033386,-0.1892395,-0.52973938,0.01661993,
Tue Oct 15 19:05:12 GMT+02:00 2019,15-ott-2019 19:05:13.575,13.92424418,42.04378378,3.78,4.5509996,440.0,357.7,9.54580688,-0.4536438,-0.87908936,0.00971345,
Tue Oct 15 19:05:12 GMT+02:00 2019,15-ott-2019 19:05:13.694,13.92424418,42.04378378,3.78,4.5509996,440.0,357.7,9.60682678,-0.48834229,-0.79293823,0.00287938,
Tue Oct 15 19:05:12 GMT+02:00 2019,15-ott-2019 19:05:13.816,13.92424418,42.04378378,3.78,4.5509996,440.0,357.7,9.72407532,-0.53620911,-0.97479248,0.00864413,
Tue Oct 15 19:05:12 GMT+02:00 2019,15-ott-2019 19:05:13.938,13.92424418,42.04378378,3.78,4.5509996,440.0,357.7,9.59365845,-0.61157227,-0.5381012,0.0068266,
Tue Oct 15 19:05:12 GMT+02:00 2019,15-ott-2019 19:05:14.063,13.92424418,42.04378378,3.78,4.5509996,440.0,357.7,9.76356506,-0.76470947,-1.1650238,0.02435344,
Tue Oct 15 19:05:12 GMT+02:00 2019,15-ott-2019 19:05:14.187,13.92424418,42.04378378,3.78,4.5509996,440.0,357.7,9.67263794,-1.0315094,-1.20690918,0.00990205,
Tue Oct 15 19:05:13 GMT+02:00 2019,15-ott-2019 19:05:14.314,13.92422921,42.04380759,3.73,4.5509996,441.0,350.8,9.97172546,-0.87478638,-1.13511658,0.01380588,
Tue Oct 15 19:05:13 GMT+02:00 2019,15-ott-2019 19:05:14.436,13.92422921,42.04380759,3.73,4.5509996,441.0,350.8,9.23594666,-0.77429199,-1.69862366,-0.02047861,
Tue Oct 15 19:05:13 GMT+02:00 2019,15-ott-2019 19:05:14.554,13.92422921,42.04380759,3.73,4.5509996,441.0,350.8,9.95617676,-0.31484985,-0.61946106,-0.00832777,
Tue Oct 15 19:05:13 GMT+02:00 2019,15-ott-2019 19:05:14.674,13.92422921,42.04380759,3.73,4.5509996,441.0,350.8,9.64630127,-0.55534363,-1.14587402,-0.00152336,
Tue Oct 15 19:05:13 GMT+02:00 2019,15-ott-2019 19:05:14.795,13.92422921,42.04380759,3.73,4.5509996,441.0,350.8,9.17730713,-1.24208069,-0.97239685,-0.03177583,
Tue Oct 15 19:05:13 GMT+02:00 2019,15-ott-2019 19:05:15.065,13.92422921,42.04380759,3.73,4.5509996,441.0,350.8,9.78388977,-0.56013489,-0.84439087,0.00646858,
Tue Oct 15 19:05:14 GMT+02:00 2019,15-ott-2019 19:05:15.344,13.92421484,42.04384003,4.03,4.5509996,442.0,351.6,8.87820435,-0.70848083,-1.539505,0.0029225,
Tue Oct 15 19:05:14 GMT+02:00 2019,15-ott-2019 19:05:15.618,13.92421484,42.04384003,4.03,4.5509996,442.0,351.6,9.4453125,-1.0375061,-1.34927368,0.01792312,
Tue Oct 15 19:05:14 GMT+02:00 2019,15-ott-2019 19:05:15.895,13.92421484,42.04384003,4.03,4.5509996,442.0,351.6,9.67024231,-0.77548218,-1.5059967,0.01976281,
Tue Oct 15 19:05:14 GMT+02:00 2019,15-ott-2019 19:05:16.165,13.92421484,42.04384003,4.03,4.5509996,442.0,351.6,9.39385986,-0.42732239,-1.3528595,0.01591728,
Tue Oct 15 19:05:15 GMT+02:00 2019,15-ott-2019 19:05:16.434,13.9242025,42.04387665,4.53,4.5509996,443.0,352.8,7.52984619,-0.69891357,-1.80151367,-0.00409888,
Tue Oct 15 19:05:15 GMT+02:00 2019,15-ott-2019 19:05:16.707,13.9242025,42.04387665,4.53,4.5509996,443.0,352.8,9.3412323,-0.43928528,-2.09223938,0.05041717,
Tue Oct 15 19:05:15 GMT+02:00 2019,15-ott-2019 19:05:16.993,13.9242025,42.04387665,4.53,4.5509996,443.0,352.8,10.25288391,-0.10429382,-1.90200806,0.07412297,
Tue Oct 15 19:05:15 GMT+02:00 2019,15-ott-2019 19:05:17.115,13.9242025,42.04387665,4.53,4.5509996,443.0,352.8,9.29096985,-0.51945496,-1.0657196,0.01919665,
Tue Oct 15 19:05:16 GMT+02:00 2019,15-ott-2019 19:05:17.234,13.92417999,42.04392078,5.33,4.5509996,444.0,350.2,9.64271545,-0.62472534,-0.73910522,0.01647991,
